nama_hotel,nama_pelanggan,rating,ulasan,,,
XYZ,AYU S. H.,9.7,"Sangat nyaman sekali. Kamar bersih, pelayanan sangat baik, ruangan sangat menyenangkan. Dan untuk breakfast sangat banyak pilihan serta enak sekali makanannya. Check in dan check out sangat cepat. Suasana sangat tenang, cocok sekali untuk beristarahat saat weekend. Next akan segera menginap disini lagi. Terimakasih traveloka untuk promo epic nya! Ditunggu promo2 epic selanjutntya.",,,
XYZ,Agus S.,6,"Not recommended, serba kurang.",,,
XYZ,lusiane w.,6.2,"Harga tidak worth it. Tidak ada spot foto yang bagus, kolam renang sedang maintenance, menu breakfast sedikit dan rasanya pun kurangğ??­",,,
XYZ,Annastasia I.,9.7,"Menyenangkan, semua petugasnya ramah dan membantu, terima kasih.",,,
XYZ,Boy h.,8.8,"Proses check-in cepat pelayanan ramah dan tempat bersih makananya juga enak, thank you Traveloka.",,,
XYZ,Yani,8.5,"Overall hotelnya ok hanya sayang posisi kolam renang diluar depan, membuat tidak nyaman kl mau kembali ke kamar harus melewati lobby utama",,,
XYZ,Mediawan T.,8.5,"Karyawannya ramah dan makanan banyak pilihan, namun sayang kolam renang di luar.",,,
XYZ,Benny K.,9.7,"Tempatnya nyaman dan bersih, tidak kecewa memilih hotel ini untuk bermalam.",,,
XYZ,Priskila,8.5,"Makanan oke, hanya pelayanan saja pada saat check-in, manager floor sangat terlambat untuk menangani antrian yang begitu panjang.",,,
XYZ,Trisno,6,Resepsionisnya kurang ramah saat check-in.,,,
XYZ,Sonny S.,6,Di kamar hari pertama ada kecoak nya dan kamar tidak sesuai karena di tiket seharus nya 25 m2 jadi paginya saya minta pindah,,,
XYZ,Fendi K.,8.2,"Pengalaman dua kali di ikuti oleh security. Masuk dan keluar berdua dengan teman, dengan saya berpakaian celana pendek jins dan berbaju kaos. Pada saat jam 10, berjalan kaki niat untuk mencari makan di luar. Saat masuk pintu parkir diikuti, dan sampai di lobby di ikuti juga. Mungkin niat untuk menegur saya, saya keluarkan saja kunci kamar saya. Security pun berbalik dan putar arah. Kesan pesan saya, jangan melihat penampilan luarnya saja, lihat dan baca kondisi. Apabila sampai menegur, akan membuat merasa tidak nyaman. Untuk resto menu pasta sangat recomended. Kamar pesan type eksekutif. Bandingkan dengan hotel lain, ranjang agak keras. Furnitur terbilang lama, banyak goresan dan cat pudar, air panas oke, AC langsung dingin. Breakfast rasa standard dan kurang variatif untuk kelas hotel bintang 4. Letak kolam renang di samping bangunan sebelah lobby membuat pelanggan yang menggunakannya agak risih, apalagi hari itu bertepatan berlangsungnya acara di hallroom.",,,
XYZ,Ramadani,8.8,"Luar biasa bagusnya, recommended buat keluarga.",,,
XYZ,Hery y.,6.4,Untuk pembawa motor parkirannya di belakang seperti berkunjung kerumah sakit saja. Tidak bisa lewat lobby hotel disitu seperti ada perbedaan saja yang bawa mobil dan motor padahal bayar sama saja.,,,
XYZ,Justin D. H.,6.5,"AC di kamar yang semalam 720 ribu, ternyata panas, hanya berasa angin-angin, Waktu komplain pertama orang maintenance datang dibilang memang karakter AC-nya dinginnya lama, tapi 3 jam berlalu AC tetap tidak dingin, Akhirnya saya komplain lagi, baru teknisi menservis dengan menambahkan freon, barulah AC-nya mulai mendingin, kedua, Handuk-handuk yang disediakan harusnya sudah dimusiumkan karena banyak noda-noda dan terlihat agak kotor, kemudian bed covernya ada noda-noda hitam tetap dipakai, Harusnya juga sudah dimusiumkan, karena ini yang tempel pada kulit kita yang menggunakan, jadi agak berasa bagaimana gitu. Kamar mandinya keliatan kabel-kabelan dibelakang cermin wastafel. Untuk sekelas hotel allium harusnya tidak terlihat makanan di restoran berasa agak terlalu mahal juga. Kolam renangnya banyak daun-daun tidak dibersihin.",,,
XYZ,Yoshita Y.,5.1,"Pelayanannya sangat buruk, tidak rekomen banget menginap di sana, sprei atau bed cover kotor atau ada noda sedikit saja masa disuruh ganti 1,7juta. Mau meres ya? Lalu kalau mau di laundry sama mereka dicharge 500rb. Parah deh hotel ini, jangan menginap di sana ya travelers. Baru pernah menginap di hotel kayak gini.",,,
XYZ,Yesi I. D.,8.5,"Kebersihan terjamin, breakfast-nya mantap, pegawainya ramah-ramah. Thank you.",,,
XYZ,Angelina S.,5.4,Dapat kamar yang AC tidak dingin sampai harus 2 kali panggil teknisi AC.,,,
XYZ,Herdiawan,8.5,Kamarnya bersih dan makanannya enak.,,,
XYZ,Suwito S.,5.1,Pelayanan security tidak memuaskan melihat yang datang pengendara motor dia kira tidak sanggup menginap di hotel allium. Kamar ada kecoa makanan tidak enak semuanya tidak memuaskan pelanggan.,,,
XYZ,elman,5.4,"Kami tiba di hotel pukul 12.00 WIB dan langsung reservasi. Setelah itu pihak hotel meminta kami untuk menunggu sampai pukul 14.00 WIB karena kamar masih disiapkan. Yang sangat membuat kesel, tiba pukul 14.00 WIB, kami mau minta kunci kamar namun ternyata belum bisa dengan alasan kamarnya masih disiapkan. Dan akhirnya kami harus menunggu hingga pukul 16.00 WIB baru bisa kamar. Saya berharap hal ini jangan terulang lagi dan berharap pihak hotel lebih meningkatkan pelayanannya dan disiplin atas waktu yang sudah ditentukan.",,,
XYZ,ria s.,6.2,"Kamar executive room dibawah ekspektasi saya, lampu kamar mandi redup, lampu dekat kaca kamar mandi juga redup, Kemudian menu sarapannya kurang bervariasi, banyak menu indonesianya.",,,
XYZ,Handono,8.5,"Hotel OK, cuma syg lokasi rawan macet pada jam kerja /pun jam aktif rutin aktifitas kereta Stasiun Poris. Mungkin lbh direkomendasikan bagi yg memang sering menggunakan kereta rute Tanggerang s/d Duri / Sebaliknya / yg memang tdk terburu waktu saat berlibur.",,,
XYZ,Fina F.,4.8,"Awalnya ngira ini bagus apalagi bintang 4 tapi ternyata salah. Pelayanannya tidak sesuai sama bintang 4 hotelnya, menu sarapan kurang variatif, air minum gula teh tidak ditambah pada saat pergantian hari padahal sudah panggil room service buat ganti handuk dan lain-lain tapi tidak ada inisiatif untuk cek. Padahal sudah berapa kali menginap di hotel manapun meskipun kita tidak minta dibersihin kamar minimal air teh dan lain-lain dikasih yang baru lagi alhasil kamar beli air seelontan sekah sekah sekah sekah sekali sekali sekali sekali sekali sekali supaya air saya kemari main komoo hait oke dan Alorsi Antok oofel oka. Hari berikutnya masih sama tidak dikasih juga air minum yang baru. Sebelum berangkat kantor ninggalin ortu sama anak di hotel sudah ditelpnin minta yang baru, tapi pas jam istirahat siang balik ke hotel ternyata masih belum dikasih juga. Telepon lagi ke resepsionis komplain bilang iya mau segera diantar tapi setengah jam lebih tidak di tengar juga, telepon lagi buat komplain alasannya ganti shift jadi tidak trinfo baru deh 5 menit kemudian nyampe. Terus dapat free check-out sampai jam 3 sore padahal sudah diinfo bakal check-out lebih dari jam 3 dan bayar cas tidak tahunya listrik dimatikan dan suami nyaman. Di komplain lagi dan alasannya lagi-lagi karena ganti shift tidak terinfo. Intinya saya kecewa atas pelayanannya yang lama dan kurang responsif, terima kasih.",,,
XYZ,Mahdina P.,6.6,"Lokasi hotel strategis, namun kamar seperti kurang maintenance. Breakfast bervariasi namun dari segi rasa agak kurang, buah dan salad juga kurang fresh. staf ramah dan murah senyum. Lebih ditingkatkan lagi untuk kedepannya.",,,
XYZ,Daisy A. P.,10,"Enak banget. akan sangat balik lagi kalau ada kesempatan hehe. petugasnya ramah, kamar selalu rapi, dan tidak seram. Sarapannya apalagi top banget. Kafenya enak. sayangnya tempat makan tidak buka sampai malam. Krisis banget kalau kelaparan malam-malam harus jalan kebawah/pesan ojol. Overall very satis ying. Keep it up guys!",,,
XYZ,Putri S. H.,10,"Pelayanannya bagus, kamarnya sesuai dengan harapan, makanannya juga enak. Recommended.",,,
XYZ,Dwiaryo D.,9.7,Kamar luas dan bersih dan islami.,,,
XYZ,Maikhel,9.7,"Menyenangkan sekali, pelayanannya ramah, cepat, tempatnya bagus banget.",,,
XYZ,Anasrul,6,Fasilitas konekai WiFi di kamar sangat buruk.,,,
XYZ,TB Akbar N. G.,8.5,Sangat mengesankan dan bagus dalam pelayanan,,,
XYZ,Eka H.,8.5,"Bagus, nyaman, pelayanan ramah, makanan enak, fasilitas dekat kemana-mana.",,,
XYZ,Boy p. p.,10,Sangat menarik lah pokoknya dari segi pelayanan internet dan kebersihan mantap pol.,,,
XYZ,Ade H. M.,8.5,"Kamar bersih, nyaman, rapi, makanan enak.",,,
XYZ,Heri I.,8.5,"Walau di tengah kota Tangerang yang bising tapi hotel ini menawarkan ketenangan untuk Anda sekedar escape dari rutinitas yang menyibukkan, kalau pingin staycation bisa untuk stay di sini semalem atau 2 malam.",,,
XYZ,Liefia,9.4,"Hotel allium bagus dan besar serta bersih, breakfastnya juga enak cuma agak jauh buat kemana-mana secara keseluruhan oke.",,,
XYZ,Ade H. M.,8.5,"Pelayanan yanmakanag ramah, satpam yang murah senyum, makannya enak.",,,
XYZ,Mari S.,6.2,"Saya kecewa atas kebersihan di kolam renang anak-anak di samping luar. Banyak dedaunan yang berjatuhan tidak dibersihkan dan ruang fitness tidak ada pelayanan dari pihak hotel dari menyalakan AC ataupun penyediaan handuk. Tapi keesokannya receptionist beda lagi dan seakan akan mengusir dan tidak mau tahu harus jam 12.00 harus keluar. Makanan kita keluar 11.40 sudah kita keluar saja deh. ditambah dengan makanan pagi, Mungkin faktor tamu hanya sedikit sehingga penyediaan makanan juga sedikit.",,,
XYZ,ROSIDI A.,5.7,"Pelayanan tidak ada kebijakan untuk masalah check-in masa harus menunggu sampai jam 2 siang, sedangkan saya dan istri saya sudah sampai jam 8 pagi. Sedangkan kamar masih banyak sekali yang kosong dan harus bayar 50% dari harga kamar kembali untuk masuk kamar. Sangat mengecewakan!",,,
XYZ,Ade H. M.,8.5,Bersih nyaman parkiran. Luas. Makanan enak.,,,
XYZ,dian e. p.,8.5,Pelayanan ramah dan menyenangkan.,,,
XYZ,ANISA N. S.,8.5,Saya baru pertama kali ke Tangerang dan langsung menginap di hotel ini. Hotelnya sangat nyaman sekali dan untuk breakfastnya banyak menu pilihan dan rasanya enak. Tidak menyesal menginap disini dan mungkin kalau ada kesempatan ingin menginap disini lagi.,,,
XYZ,kristiana k. s.,9.1,Tempatnya nyaman dan makanannya enak. Pelayanannya mantap dan memperlakukan kita dengan ramah.,,,
XYZ,anton h.,6.9,Pelayannya tidak sopan dan susah.,,,
XYZ,Riki K.,6,"AC kamar panas, 29 pas baru masuk, telepon resepsionis suru tunggu 15 menit akan turun. Ternyata sampai besok pagi suhu tersebut hanya turun sampai 26 drajat saja, bell boy tidak ada. Hotel sangat sepi rasa makanan enak.",,,
XYZ,masridah b.,6.2,"Lokasi hotel jauh dari keramaian, pelayanan di resepsionist cukup lama, tapi kamarnya cukup nyaman dengan fasilitas yang oke.",,,
XYZ,Georgia M. S.,9.7,"Staffnya ramah, kamar hotel nyaman, AC-nya dingin terus acara TVnya pun banyak, tapi untuk breakfast refill makanannya kurang, Didakat yang datang breakfast agak telat mungkin tidak kebagian makanan, tapi overall kami puas menginap di sini, recommend kok",,,
XYZ,Aditya A.,8.5,"Hotel bagus, cuma kurang bagus di internet connection untuk di room 502 karena sinyal tidak sampai kesitu.",,,
XYZ,Ari S. W.,10,"Luar biasa menyenangkan, anak-anak happy, menu sarapan bervariasi, pelayanannya ramah.",,,
XYZ,Dinny K.,8.5,"Alhamdulillah, bisa menginap di Allium Hotel dengan new year package, seru, seru banget.",,,
XYZ,Anisa D. Y.,8.5,"Sangat nyaman untuk fasilitasnya, pekerja yang sangat ramah, kamar hotel yang bersih, pokoknya recommended banget!",,,
XYZ,Dwi N.,9.4,Kamar sangat nyaman dan pelayanan sangat memuaskan. Walaupun loby seperti remang remang tapi semua oke.,,,
XYZ,sigit g.,8.5,"Kamar bagus, bersih nyaman, sarapannya juga enak-enak, staffnya pun ramah.",,,
XYZ,Heriyanto,9.7,"Kamar nyaman dan bersih, tapi untuk dessert breakfast kurang lengkap contoh puding.",,,
XYZ,Fajar F. H.,6,"Tidak dapat smoking room, sangat disayangkan.",,,
XYZ,Stella O.,8.5,"Tempatnya luas, pelayanannya oke. makanannya juga enak-enak.",,,
XYZ,Oktaviani S.,8.5,Hotelnya lumayan good lah. tapi akses masuk parkirannya agak tersembunyi. Makanannya lumayan enak. staffnya ramah.,,,
XYZ,Muhammad A. M.,5.7,Saya tidak bisa menjelaskan dengan kata-kata.,,,
XYZ,Irjen S.,10,"Saya sangat puas dengan fasilitas dan pelayanan yang telah diberikan kepada saya. Terkhusus pada saat check-out dan ada barang saya yang ketinggalan di dalam kamar, mereka dengan sigap memberitahu ada barang yang ketinggalan dan dengan cepat mengambil dan mengantarkan barang tersebut kepada saya yang pada saat itu. Ketinggalan barang di kamar hotel pada saat check-out adalah kejadian saya yang ke tiga kalinya di hotel yang berbeda pula namun hotel Allium Tangerang lah yang memilili respon cepat dalam pengembalian barang. Pertahankan kualitas.",,,
XYZ,Rahmaddiah F. U.,7.2,"Overall good, tapi karena kamar ada di ujung lorong jadi tidak dapat signal WiFi.",,,
XYZ,Edi E.,8.5,"Hotel ini bagus, pegawainya ramah, sarapannya oke, lengkap semuanya, fasilitas lain juga oke. Jaringan internet juga oke, menyenangkan sekali.",,,
XYZ,Juan C. s.,8.5,"Staf ramah, kamar bersih, good menu.",,,
XYZ,Lenny N.,9.7,"Kamar persis di foto, bersih, luas, pelayanan ramah.",,,
XYZ,adikara,10,"Sangat menyenangkan bersama keluarga, sarapan banyak pilihan dan enak makanannya.",,,
XYZ,Brian P. A.,6.4,AC kamar lantai 7 error bentar nyala terus panas. Harusnya pihak hotel sudah cek semua kamar dengan benar.,,,
XYZ,Heni M.,9.1,"Overall oke, hanya kami kebetulan dapat kamar dengan AC yang bocor, sehingga menimbulkan suara tik-tok. Semoga next time tidak ada kejadian seperti itu. Ayo ditingkatkan lagi, allium.",,,
XYZ,Eva I. Y.,8.5,Kamar saya diupgrade krn kamar yg dipesan sudah penuh. Tampilan foto jauh lebih berwarna dari aslinya. Untuk pelayanan dan lain2 saya rasa â??cukupâ??.,,,
XYZ,Clarina D.,9.7,"Kamar bersih dan nyaman. Makanannya lumayan enak, pelayanannya sangat ramah. Top deh!",,,
XYZ,hj Nova s.,8.5,"Hotelnya bersih dan nyaman, makanannya juga enak-enak dan sedap dan fasilitasnya lengkap dan akses ke mana-mana dekat sekali pokoknya keren deh. Ajak keluarga kalian holiday ke hotel allium deh.",,,
XYZ,Edi s.,7.9,Interiornya masih kurang rapi.,,,
XYZ,Faruq A. A. R.,6.1,"Pro: tidak ada yang awesome, semua standar. Pelayanannya ramah, semua pegawai baik dan tidak ada minusnya. Mungkin fasilitasnya yang kurang. Kontra: entah mungkin saya yang apes kali ya, dapat kamar yang terakhir. Padahal saya minta yang dekat WiFi eh malah ditaroh di pojokan yang jauh sinyal WiFi. Kamarnya biasa saja. Dengan harga segitu tidak sesuai dengan kamar yang didapat. Mending ke hotel lain saja kalau di daerah Tangerang. Makanannya standar. Nasi gorengnya terlalu kering. Sosisnya tidak enak. Yang enak mungkin ayam saus mentega sama omelettenya saja. Nasi udak kehabisan tapi tidak diisi lagi. Tolong dekatkan colokan dengan tempat tidur.",,,
XYZ,Ismail I.,8.5,Insya Allah jika ada waktu dan kesempatan yang sama akan menginap lagi.,,,
XYZ,Andrew,8.8,"Makanan kurang enak untuk bintang 4, cuma kamar cukup bersih.",,,
XYZ,Andrew,9.1,"Kamar bersih, tapi sarapan sangat kurang enak untuk ukuran bintang 4.",,,
XYZ,Rachmat A.,9.7,"Akses hotel dari pusat kota tangerang sangat baik, dekat dengan stasiun KRL dan pusat perbelanjaan. Pelayanan hotel baik, fasilitas cukup, kamarnya nyaman, dan makanannya juga enak.",,,
XYZ,PB,9.4,Kamar bersih dan rapi. Hanya saja linglung pintu keluar hotelnya soalnya bukan dipinggir jalan.,,,
XYZ,Si Ngo,9,"Kamar sesuai di foto, rapi bersih, cuma tempat tidur tidak wangi.",,,
XYZ,Dyah P.,8.5,"Bersih, nyaman, fasilitas komplet, makanan standar, saat saya menginap handle kamar mandi agak rusak jadi tidak bisa ditutup dari luar, But it's oke, overall memuaskan.",,,
XYZ,AHMAD R. A. F.,9.4,Pelayanan baik dan banyak pilihan untuk menu breakfast.,,,
XYZ,Cakra M.,8.8,"Cukup menyenangkan, next time menginap di hotel Allium.",,,
XYZ,Catharine,6,"Kamarnya sih bersih dan nyaman, namun fasilitas sarapannya cukup mengecewakan, kurang variatif dan bahkan rasanya hambar ğ??",,,
XYZ,Mustika,6.9,"Ketika kaki luka terus berdarah itu pun tidak banyak darahnya cuma beberapa tetes saja dan resepsionis hotel bilang bahwa seprai terkena noda darah kalau sudah lama pasti gak hilang dan berkerak, lalu kena biaya untuk mengganti seprainya sebesar 450.000. Dari pihak kita bukan karena biayanya tapi kenapa dia bilang noda itu tidak bisa hilang dan ketika kita kucek sebentar langsung hilang. Dan ada tetes darah lagi sedikit banget yang belum hilang dia bilang kena cas untuk loundriannya saja 200 ribu pihak kita bilang tidak usah mas sini kita saja yang bersihin karena kita check-out jam 07:00 karena masih ada waktu dong karena sistem hotel kan biasanya check-out sampai jam 12:00/01:00. Ya lalu dengan waktu tidak sampai 5 menit itu noda darahnya langsung hilang padahal cuma pake sabun mandi doang. Yang kita tidak suka dia minta biaya loundriannya saja sebesar 200.000. Lah memangnya setelah kita pakai mau langsung di kasih tamu lain lagi apa memang ya tidak mau di loundry dulu ya, pemikiran kita begitu jadi sama sekali bukan karna uangnya tapi kita jengkel aja sudah buru-buru. Bukannya di cek dulu dan dicoba dulu malah memvonis bercak darahnya tidak bisa hilang saja. Cape deh.",,,
XYZ,Ryan H.,8.5,"Kamar bersih, rapi, wangi, luas dan nyaman, pemandangan lumayan bagus, staf pelayanannya baik dan ramah sangat membantu sekali.",,,
XYZ,juliansyah a. p.,9.4,"Kamar nyaman, pelayanan ramah hanya saja pas sarapan menu yang habis tidak ditambah, area restaurant kotor, rasa tidak terlalu enak sepertinya banyak menu yang tidak segar.",,,
XYZ,Dimas M. F.,5.4,Terlalu mahal untuk hotel dengan fasilitas yang seperti itu.,,,
XYZ,Bagus W.,9.3,Kamar mandinya tolong di benerin lagi,,,
XYZ,Muhammad F. M.,6.9,"Menunggu lama kemarin itu, sampai jam 14 00 WIB baru bisa masuk kamar setelah check-in, seharusnya jika sudah ada yang check-in dengan pembelian melalui agen travel online segera di follow up, jangan sampai kami menunggu lama. Kami sangat kecewa sekali sampai-sampai kami ketiduran di lobby hotel. Sampai pergantian shift receptionist itu pun belum ada info ke kami. Sehingga sempat emosi dengan receptionist yang telah berganti dengan sebelumnya.",,,
XYZ,verawati,8.8,Bagus nyaman dekat tempat makan dan supermarket.,,,
XYZ,sehat,9.4,"Sangat mengesankan, recommended.",,,
XYZ,rahmi p. l.,8.8,"Pelayanannya baik banget, terlebih kaka resepsionis ka Nouri. Kamarnya bersih, makannya juga enak. Tidak menyesal deh tinggal disana.",,,
XYZ,Aditya N. R.,8.5,"Kamar bersih, nyaman, petugas ramah",,,
XYZ,Rinaldi,10,"Pelayanan yang diberikan oke, kamar bersih, makanan enak.",,,
XYZ,Eka K. G. N.,8.5,"Langganan banget menginap disini, sudah berkali-kali tidak pernah bosan dan tidak pernah mengecewakan. Apalagi sekarang ada kids corner. Parents happy anak happy.. love banget sama Allium",,,
XYZ,Boby,8.5,Semuanya oke banget. hanya saja kamar yang saya dapat pada kamar mandi airnya tidak turun ke pembuangan.,,,
XYZ,Yunanto,7.9,Kamar cukup bersih. Sayang kolam renang kecil. Kotor. Breakfast kurang variatif dan kurang enak,,,
XYZ,fernando i.,8.5,Hotelnya baru dan pelayanan memuaskan.,,,
XYZ,Elina T. W.,8.8,"Hotelnya nyaman awalnya AC-nya kurang dingin agak error langsung bilang ke front desknya tapi dia bilang, memang kaya gt pas malamnya masih kurang dingin juga kebetulan front desknya ganti jadi saya komplain lagi, langsung ditangani ternyata benar error saran coba lebih mendengarkan komplain/masukan dari customer",,,
XYZ,ALBERT,10,Oke semuanya tidak ada masalah.,,,
XYZ,Sah R.,8.5,Sedikit terganggu dengan saluran air pembuangan air kamar mandi.,,,
XYZ,Kanda A. K.,9.4,"Kolam renangnya yang kurang nyaman, kalau bisa lebih diperhatikan.",,,
XYZ,Harfendy S.,8.5,Keren cuma sayang fotonya terlalu lebay daripada aslinya.,,,
XYZ,Joko S.,8.5,Tidak begitu ramai. tenang. makanan lumayan beragam dan enak,,,
XYZ,Ferdy A.,9.4,Tempat bersih. Pelayanan ramah dan baik.,,,
XYZ,Yusri S.,8.5,"Kamar lumayan bersih, makanannya enak, cuma parkiran mobil sempit untuk ukuran allium dan kolam renang dekat dekat parkir mobil.",,,
XYZ,Fitriyah,9.7,"Posisi hotel strategis dipinggir jalan raya, dekat terminal dan stasiun Batu ceper dan tidak jauh dari mal Tang-City. Interiornya dan gedungnya modern. Pelayanannya ramah, ruangan bersih dan breakfastnya mantap.",,,
XYZ,Anugerah P.,9.7,"Nyaman, bersih. Recommended.",,,
XYZ,Fitriyah,9.7,"Hotelnya bersih terawat, staf ramah, breakfast-nya enak.",,,
XYZ,Zakiah r.,8.4,"Bagus kok lumayan pokoknya, overall bagus",,,
XYZ,Rima E.,8.8,"Front officenya ramah, cuma kamar agak sempit. Posisi kolam renang kurang nyaman, keliatan dari loby.",,,
XYZ,Dyah A. K. N.,9.4,"Makanannya enak, resepsionisnya baik, semua stafnya ramah, bersih kamarnya, suka, puas sepuas-puasnya.",,,
XYZ,Donny S.,5.1,Hotel bintang 4 terburuk yang pernah saya menginap. Tidak sesuai photo.,,,
XYZ,Ari K.,8.4,"Memuaskan untuk pribadi hanya WiFi kurang kencang jika disewa untuk pribadi atau kegiatan pelatihan dsb, perlu lebih ditingkatkan untuk jaringan internet, jadi kurang nyaman.",,,
XYZ,SELAMAT S.,8.5,Bersih dan sarapannya banyak varian,,,
XYZ,Isdi,6.9,AC-nya terlalu keras hembusannya. Seperti blower pabrik,,,
XYZ,Rita R.,9.1,"Kamar bersih, menu sarapan paginya/breakfast banyak dan enak cuma 1 kemarin room servicenya agak lama, semuanya oke.",,,
XYZ,Jonggi P. P.,10,"Sudah 2 kali menginap di allium. Tempatnya nyaman dan pelayanannya juga maksimal, staf yang ramah dan sangat membantu",,,
XYZ,Rio R.,9.7,"Sangat bagus, sukses terus buat Allium Hotel Tangerang, makanan sangat enak dan mewah.",,,
XYZ,elizabeth K.,10,"Pelayanan ramah, mbak nouri sangat helpfull. Variasi makanan banyak pilihan. Suasana tenang. Swimming pool dan gymnya cukup bagus.",,,
XYZ,Angga P. H.,5.9,"Makanannya tidak enak di lidah kami, nasgor juga tidak enak, padahal nasgor adalah minimal standar enak biasa di hotel. Koridor lantai 7 full bau tidak sedap dari asap rokok dan bau-bau lain. Bulan madunya jadi kurang puas.",,,
XYZ,Eskodavoni,8.3,"Wifi di kamar sangat buruk, makanan kurang enak & kolam renang kecil ada diluar dekat parkiran",,,
XYZ,Egia f.,9.1,"Nice place, good service, bersih dan nyaman.",,,
XYZ,Aprelia A. N.,9.7,"Keseluruhan bagus, hanya saja proses check-in and check-out terlalu lama.",,,
XYZ,Albert H.,9.7,"Lokasi cukup strategis, ada beberapa tempat kuliner khas lokal, tidak jauh dari Mal, kamar besar dan bersih. Sarapan sangat bagus",,,
XYZ,Sendy J.,9.4,Bagus fasilitas dan kenyamanan oke,,,
XYZ,Sandy S.,9.7,Mantap dan memuaskan dan lokasi strategis,,,
XYZ,Mohamad D.,8.2,"Untuk pelayanan ok, tempat nya nyaman. Hanya saja untuk menu sarapannya biasa saja untuk hotel berbintang 4.",,,
XYZ,Novitasari,9.6,"Saya senang menginap di hotel ini, tapi sangat disayangkan ada sedikit yang mungkin lebih perlu diperhatikan, dengan hotel kelas berbintang 4 mohon diperhatikan kembali kebersihan pada kamar, saya beberapa kali menjumpai kecoa kecil yang sangat menganggu bahkan sampai masuk ke dalam minuman hingga muntah mohon segera ditindak lanjuti untuk selanjutnya, overall semua pelayanan bagus. Terima kasihğ???",,,
XYZ,erick f.,8.5,"Keren, bagus untuk ajak keluarga, pelayanannya juga ramah.",,,
XYZ,Anggi Z.,10,"Makanannya enak banget,tempatnya nyaman. Terima kasih Mr. Hero hidangan enak enak sekali terutama dimsum dan omeletenya.",,,
XYZ,Michael,8.5,Makanan enak dan cukup nyaman kamar ya,,,
XYZ,wilma a.,9.7,Pelayanan ramah dan bersih.,,,
XYZ,Febriana K. R.,9.7,"Lokasi nyaman dan tenang untuk istirahat, makanan restoran lumayan, kamar dan common spaces bersih.",,,
XYZ,Lim L. J.,8.8,Sangat puas menginap di Allium kamarnya bersih pelayannya ramah makanannya banyak pilihannya untuk orang sakit disediakan kursi roda di lobby.,,,
XYZ,Martin U. S.,9.7,"Semuanya bagus, cuma kurang meja dan kursi saja",,,
XYZ,Yenlin,10,"Murah dan bersih, pelayanan juga puas.",,,
XYZ,Fitriyati A.,10,"Sarapannya top banget, suka banget.",,,
XYZ,Dicky R. F.,8.8,Hotel nyaman dan pelayanan yang memuaskan. recommended bagi yang ingin mencari hotel di tengah kota tangerang,,,
XYZ,Lili A.,9.1,"Nice hotel, recommended banget deh.",,,
XYZ,Pegi D. A.,9.7,"Menginap saat tahun baru cukup menyenangkan, nyaman, Thanks Allium.",,,
XYZ,Dimas D.,9.7,"Salah satu Hotel yang recommended banget di tangerang. Nyaman. Fasilitas lengkap, karyawan sampai satpam juga squrity check nya ramah, breakfast nya mantab. Hanya saja akses jalan masuk hotel ini rusak parah",,,
XYZ,Ni Wayan W. G.,8.5,Overall oke. Makanan nya kurang enak nih.,,,
XYZ,MUHAMMAD F. M.,9.7,"Baik dan nyaman dan sesuai dengan yang kami inginkan, baik itu terkait dengan kebersihan, pelayanan, maupun makanan sarapan paginnya. Pokoknya ok, sip",,,
XYZ,Hafizd T. S.,8.8,Semuanya biasa aja. Banyak hotel yang lebih murah tp dapat fasilitas dan pelayanan yang lebih baik.,,,
XYZ,I Made R. J.,9.4,"Hotel bersih, pelayanan ramah. Sarapan pagi lengkap dan enak. Cuma waktu check in nya aja yang begitu lama mungkin nanti bisa di koordinasikan lagi sama pelayanan kamar jadi bisa memberi info ke tamu saat chek in berapa lama tamu harus nunggu. Thanks",,,
XYZ,Ny tya,8.8,Lebih diperhatikan kebersihan dan kenyamanan dalam kamar.,,,
XYZ,Johannes,9.7,"Menginap di hotel ini bersama keluarga saya untuk tahun baruan, hotel ini mengadakan acara hiburan dan dinner buffet, acara hiburan sangat meriah untuk ditonton sambil menikmati makan malam yang enak, kamar hotel bersih dan fasilitas hotel lengkap, sarapan sangat variatif dan rasa yang enak, hotel yang sangat ramah pula untuk membawa anak kecil, saya sangat merekomendasikan hotel ini untuk liburan.",,,
XYZ,Agnes F. C.,6.1,"Tidak pantes ni disebut hotel bintang 4. Kolam renang beda banget sama gambar, balkon kamar useless, sekelas bintang 4 tidak ada sisir, sikat gigi cuma 1, cuma sarapan yang lumayan.",,,
XYZ,Willy D.,9,"Pengalamannya kami tidak dikasih welcome drink padahal tamu lain dapat welcome drink, fasilitas oke , kamar juga oke. Tapi pengalaman agak kurang menyenangkan saat sarapan kami ke restoran jam 9 pagi dan kami ingin menikmati makanannya. Tapi ketika pukul 10 staf restoran datang ke meja dan mengatakan mereka akan closing. Seumur-umur menginap hotel baru kali ini ada sarapan yang terkesan diusir gitu ( padahal tamu masih ada 5-6 orang lagi selain kami ) dan makanan masih banyak sisa tapi semua langsung disimpan-simpan.",,,
XYZ,Imam T.,8.5,Mau cek in aja nunggu 2 jam sampai harus bolak balik resepsionis,,,
XYZ,Dani r. d.,9.1,"Bagus, bersih, untuk breakfast kurang variasi dan untuk rasa kurang terasa.",,,
